directional_class,directional_p_noop,directional_p_pred,dot_safe,episode_id,feasible_direction_count,force_norm,force_perp_norm,force_risk_alignment,force_source,has_safe_alt,lam_hard,lam_soft,path_index,regime,safe_risk,scaffold_risk
0.0,nan,nan,3.877652406692505,00000_001823_00,3.0,4.28584098815918,4.284641265869141,0.9992568492889404,coef_energy_material_checkpoint_lambdas,0.0,4.1885986328125,2.244100332260132,12,R2,2.079476684331894,2.0637172162532806
0.0,nan,nan,0.7172703742980957,00000_001823_00,2.0,0.7227182984352112,0.7172704339027405,0.8586382865905762,coef_energy_material_checkpoint_lambdas,0.0,4.184035778045654,2.2396419048309326,15,R2,2.020309954881668,0.27710115909576416
0.0,nan,nan,4.032656669616699,00000_001823_00,1.0,7.0027689933776855,5.725072383880615,0.5536531209945679,coef_energy_material_checkpoint_lambdas,0.0,4.191055774688721,2.219822645187378,33,R2,3.2146677672863007,3.2146677672863007
0.0,nan,nan,0.3035831153392792,00000_001823_00,1.0,2.4887197017669678,2.4701342582702637,-0.5972943305969238,coef_energy_material_checkpoint_lambdas,0.0,4.189239025115967,2.224843740463257,36,R2,3.338151842355728,3.338151842355728
0.0,nan,nan,0.9174280762672424,00000_001823_00,1.0,2.470052480697632,2.2933566570281982,0.9951980113983154,coef_energy_material_checkpoint_lambdas,0.0,4.194737434387207,2.2304301261901855,39,R2,3.326844871044159,3.326844871044159
0.0,nan,nan,0.33839479088783264,00000_001823_00,2.0,0.37731432914733887,0.16689836978912354,0.9393913149833679,coef_energy_material_checkpoint_lambdas,1.0,4.178389549255371,2.2422306537628174,42,R2,3.2146677672863007,3.3647356927394867
0.0,nan,nan,0.8115729093551636,00000_001823_00,2.0,1.986354947090149,1.8129961490631104,-0.9993278384208679,coef_energy_material_checkpoint_lambdas,0.0,4.1949005126953125,2.233649492263794,45,R2,3.338151842355728,2.453604429960251
0.0,nan,nan,-0.09339684993028641,00000_001823_00,2.0,0.15206317603588104,0.12000098824501038,0.6912224292755127,coef_energy_material_checkpoint_lambdas,0.0,4.163877487182617,2.243299722671509,48,R2,3.326844871044159,1.3133510053157806
0.0,nan,nan,5.508233547210693,00000_001823_00,2.0,6.751348495483398,6.655350208282471,0.2980824112892151,coef_energy_material_checkpoint_lambdas,0.0,4.129842758178711,2.269071340560913,51,R2,3.8018732368946075,0.5566036105155945
0.0,nan,nan,-0.19035601615905762,00000_001823_00,2.0,3.8955960273742676,3.6310763359069824,0.9800816774368286,coef_energy_material_checkpoint_lambdas,0.0,4.126847267150879,2.2800896167755127,54,R2,3.9684351682662964,3.810908854007721
0.0,nan,nan,0.17436003684997559,00000_001823_00,3.0,0.22881586849689484,0.1743600219488144,0.9914168119430542,coef_energy_material_checkpoint_lambdas,0.0,4.127908706665039,2.2823376655578613,57,R2,4.195374935865402,1.6695483922958374
0.0,nan,nan,0.0016055891755968332,00000_001823_01,4.0,0.005829511675983667,0.0028273332864046097,-0.5221222639083862,coef_energy_material_checkpoint_lambdas,1.0,4.211391925811768,2.2570762634277344,0,R2,3.8579846024513245,3.999901205301285
0.0,nan,nan,0.003981462679803371,00000_001823_01,4.0,0.003981562796980143,2.8249109163880348e-05,0.9890412092208862,coef_energy_material_checkpoint_lambdas,0.0,4.202193737030029,2.247321128845215,3,R2,3.1325910687446594,3.1325910687446594
0.0,nan,nan,0.26381170749664307,00000_001823_01,3.0,0.5301851630210876,0.030290910974144936,0.999254047870636,coef_energy_material_checkpoint_lambdas,0.0,4.207274436950684,2.2449471950531006,6,R2,2.6176693439483643,2.3096558451652527
0.0,nan,nan,-0.3596455454826355,00000_001823_01,2.0,0.37073996663093567,0.0803239643573761,0.9999978542327881,coef_energy_material_checkpoint_lambdas,0.0,4.189913749694824,2.228170871734619,9,R2,3.8561133444309235,1.2747428119182587
0.0,nan,nan,0.27419358491897583,00000_001823_01,3.0,0.38232535123825073,0.005482248496264219,0.9826938509941101,coef_energy_material_checkpoint_lambdas,0.0,4.175365447998047,2.2169265747070312,12,R2,2.195527106523514,0.5196752548217773
0.0,nan,nan,4.029558181762695,00000_001823_01,1.0,6.99888801574707,5.722507476806641,0.5537787675857544,coef_energy_material_checkpoint_lambdas,0.0,4.188312530517578,2.224013566970825,33,R2,3.2146677672863007,3.2146677672863007
0.0,nan,nan,0.30359748005867004,00000_001823_01,1.0,2.4889988899230957,2.47041392326355,-0.5972879528999329,coef_energy_material_checkpoint_lambdas,0.0,4.189733982086182,2.225919246673584,36,R2,3.338151842355728,3.338151842355728
0.0,nan,nan,0.9176002740859985,00000_001823_01,1.0,2.470414638519287,2.293677806854248,0.995196521282196,coef_energy_material_checkpoint_lambdas,0.0,4.196052074432373,2.229705333709717,39,R2,3.326844871044159,3.326844871044159
0.0,nan,nan,0.33724445104599,00000_001823_01,2.0,0.3763747811317444,0.16710524260997772,0.9387572407722473,coef_energy_material_checkpoint_lambdas,1.0,4.189046859741211,2.23606538772583,42,R2,3.2146677672863007,3.3647356927394867
0.0,nan,nan,0.8094325065612793,00000_001823_01,2.0,1.981415867805481,1.8085429668426514,-0.9993253350257874,coef_energy_material_checkpoint_lambdas,0.0,4.192191123962402,2.2435786724090576,45,R2,3.338151842355728,2.453604429960251
0.0,nan,nan,-0.09437921643257141,00000_001823_01,2.0,0.1500328779220581,0.1166294515132904,0.6773900389671326,coef_energy_material_checkpoint_lambdas,0.0,4.182086944580078,2.233957529067993,48,R2,3.326844871044159,1.3133510053157806
0.0,nan,nan,7.153494834899902,00000_001823_01,2.0,7.559747219085693,6.787054538726807,0.7784502506256104,coef_energy_material_checkpoint_lambdas,0.0,4.180806636810303,2.2439465522766113,51,R2,3.3647356927394867,0.560863196849823
0.0,nan,nan,7.127346515655518,00000_001823_01,1.0,7.688424587249756,7.127346515655518,0.9978289008140564,coef_energy_material_checkpoint_lambdas,0.0,4.182184219360352,2.2590491771698,54,R2,4.402320384979248,0.6018400192260742
