arm,correct_activation,dataset,dot_safe,episode_id,false_activation,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,path_index,regime,soft_force_norm,soft_force_perp_norm
zero,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.05823364853858948,0.0902102068066597,0.0,36,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.05823364853858948,0.0902102068066597,0.0,36,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.05823364853858948,0.0902102068066597,0.0,36,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.07018302381038666,0.10288923233747482,0.0,48,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.07018302381038666,0.10288923233747482,0.0,48,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.07018302381038666,0.10288923233747482,0.0,48,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.07629350572824478,0.10598424077033997,0.0,60,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.07629350572824478,0.10598424077033997,0.0,60,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.07629350572824478,0.10598424077033997,0.0,60,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.10799650102853775,0.1324489265680313,0.0,0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.10799650102853775,0.1324489265680313,0.0,0,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.10799650102853775,0.1324489265680313,0.0,0,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.09291242808103561,0.12228274345397949,0.0,12,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.09291242808103561,0.12228274345397949,0.0,12,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.09291242808103561,0.12228274345397949,0.0,12,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.0831439420580864,0.1140124648809433,0.0,24,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.0831439420580864,0.1140124648809433,0.0,24,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.0831439420580864,0.1140124648809433,0.0,24,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.0770728588104248,0.11210232228040695,0.0,36,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.0770728588104248,0.11210232228040695,0.0,36,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.0770728588104248,0.11210232228040695,0.0,36,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.07702499628067017,0.11116144061088562,0.0,48,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.07702499628067017,0.11116144061088562,0.0,48,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.07702499628067017,0.11116144061088562,0.0,48,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.07668723165988922,0.10857027769088745,0.0,60,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.07668723165988922,0.10857027769088745,0.0,60,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.07668723165988922,0.10857027769088745,0.0,60,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.07855907827615738,0.10758481919765472,0.0,72,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.07855907827615738,0.10758481919765472,0.0,72,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_02,0,0,0.07855907827615738,0.10758481919765472,0.0,72,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.10092911124229431,0.12584230303764343,0.0,0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.10092911124229431,0.12584230303764343,0.0,0,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.10092911124229431,0.12584230303764343,0.0,0,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.09360955655574799,0.12200058251619339,0.0,12,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.09360955655574799,0.12200058251619339,0.0,12,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.09360955655574799,0.12200058251619339,0.0,12,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.08326106518507004,0.11631358414888382,0.0,24,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.08326106518507004,0.11631358414888382,0.0,24,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.08326106518507004,0.11631358414888382,0.0,24,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.0779273733496666,0.11298850923776627,0.0,36,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.0779273733496666,0.11298850923776627,0.0,36,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.0779273733496666,0.11298850923776627,0.0,36,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.07723140716552734,0.11052392423152924,0.0,48,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.07723140716552734,0.11052392423152924,0.0,48,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_03,0,0,0.07723140716552734,0.11052392423152924,0.0,48,R2,0.0,0.0
