arm,correct_activation,dataset,dot_safe,episode_id,false_activation,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,path_index,regime,soft_force_norm,soft_force_perp_norm
fixed,0,RELLIS-3D,0.0,00003_001631_06,0,0,0.08925536274909973,0.12015858292579651,0.0,24,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_06,0,0,0.07811656594276428,0.11040008813142776,0.0,36,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_06,0,0,0.07811656594276428,0.11040008813142776,0.0,36,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_06,0,0,0.07811656594276428,0.11040008813142776,0.0,36,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_06,0,0,0.0759456604719162,0.1078115701675415,0.0,48,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_06,0,0,0.0759456604719162,0.1078115701675415,0.0,48,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_06,0,0,0.0759456604719162,0.1078115701675415,0.0,48,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_07,0,1,0.11516423523426056,0.140305295586586,0.0,0,R1,0.0,0.0
learned,0,RELLIS-3D,-0.009830190800130367,00003_001631_07,0,1,0.11516423523426056,0.140305295586586,0.140305295586586,0,R1,0.04629809409379959,0.038036737591028214
fixed,0,RELLIS-3D,-0.10509428381919861,00003_001631_07,0,1,0.11516423523426056,0.140305295586586,1.5,0,R1,0.4949715733528137,0.406649649143219
zero,0,RELLIS-3D,0.0,00003_001631_07,0,0,0.10103321820497513,0.13166117668151855,0.0,12,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_07,0,0,0.10103321820497513,0.13166117668151855,0.0,12,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_07,0,0,0.10103321820497513,0.13166117668151855,0.0,12,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_07,0,0,0.08925536274909973,0.12015858292579651,0.0,24,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_07,0,0,0.08925536274909973,0.12015858292579651,0.0,24,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_07,0,0,0.08925536274909973,0.12015858292579651,0.0,24,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_07,0,0,0.07811656594276428,0.11040008813142776,0.0,36,R1,0.0,0.0
