arm,best_risk,dataset,episode_id,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,nominal_risk,regime,stage
learned,8.96272195460406e-05,DFC2018,0000,0,1.3815574645996094,2.2618653774261475,0.0,0.0036721126719688377,soft-dominant-test,13
learned,0.00039764835268581616,DFC2018,0000,0,1.3803130388259888,2.2612719535827637,0.0,0.008723148649247984,soft-dominant-test,14
learned,0.0013315689707873446,DFC2018,0000,1,1.3800432682037354,2.261138439178467,2.261138439178467,0.016589012695476413,soft-dominant-test,15
learned,0.003137636520648357,DFC2018,0000,1,1.380054235458374,2.2611184120178223,2.2611184120178223,0.02623206501205762,soft-dominant-test,16
learned,0.00700821451240093,DFC2018,0000,1,1.3806463479995728,2.2613766193389893,2.2613766193389893,0.02948184156169494,soft-dominant-test,17
learned,0.005964482027573344,DFC2018,0000,1,1.3823093175888062,2.2621724605560303,2.2621724605560303,0.018802439017842214,soft-dominant-test,18
learned,0.0015012756204271227,DFC2018,0000,0,1.3841149806976318,2.2631964683532715,0.0,0.0032656131776699717,soft-dominant-test,19
learned,8.626121799538053e-06,DFC2018,0000,0,1.384619951248169,2.2635109424591064,0.0,0.00035917294493022683,soft-dominant-test,20
learned,1.0688449899283933e-05,DFC2018,0000,0,1.384811520576477,2.2635178565979004,0.0,7.224318706278154e-05,soft-dominant-test,21
learned,6.17691339119264e-08,DFC2018,0000,0,1.383941650390625,2.2631378173828125,0.0,7.603864498722154e-07,soft-dominant-test,22
learned,1.318453339097895e-07,DFC2018,0000,0,1.3808525800704956,2.2624409198760986,0.0,0.00011675410443898425,soft-dominant-test,23
learned,2.507669307760807e-05,DFC2018,0000,0,1.3104194402694702,2.289471387863159,0.0,0.008356144382939116,soft-dominant-test,24
learned,0.0010870483985386745,DFC2018,0000,0,1.2869057655334473,2.2639856338500977,0.0,0.002932423801283335,soft-dominant-test,25
learned,0.0,DFC2018,0000,0,1.3267558813095093,2.283764600753784,0.0,5.982360088789089e-08,soft-dominant-test,26
learned,0.0,DFC2018,0000,0,1.3581831455230713,2.3012337684631348,0.0,0.0,soft-dominant-test,27
learned,0.0,DFC2018,0000,0,1.3605796098709106,2.3013675212860107,0.0,0.0,soft-dominant-test,28
learned,0.0,DFC2018,0000,0,1.3587653636932373,2.3027801513671875,0.0,0.0,soft-dominant-test,29
learned,0.0,DFC2018,0000,0,1.3558533191680908,2.304839849472046,0.0,0.0,soft-dominant-test,30
learned,0.0,DFC2018,0000,0,1.3467246294021606,2.3114726543426514,0.0,0.0,soft-dominant-test,31
learned,0.0,DFC2018,0000,0,1.3883569240570068,2.2652127742767334,0.0,0.0,soft-dominant-test,32
learned,0.0,DFC2018,0000,0,1.388371467590332,2.2652106285095215,0.0,0.0,soft-dominant-test,33
learned,0.0,DFC2018,0000,0,1.3883792161941528,2.265209436416626,0.0,0.0,soft-dominant-test,34
learned,0.0,DFC2018,0000,0,1.3883792161941528,2.265209197998047,0.0,0.0,soft-dominant-test,35
learned,0.0,DFC2018,0000,0,1.38837468624115,2.2652077674865723,0.0,0.0,soft-dominant-test,36
learned,0.0,DFC2018,0000,0,1.3872660398483276,2.2646708488464355,0.0,1.2284270193655782e-06,soft-dominant-test,37
learned,1.642336286527176e-07,DFC2018,0000,0,1.3856594562530518,2.263901710510254,0.0,6.056811102439497e-06,soft-dominant-test,38
learned,9.6124921129583e-07,DFC2018,0000,0,1.3863470554351807,2.264392375946045,0.0,1.9804049268638362e-05,soft-dominant-test,39
learned,1.4108306349847055e-06,DFC2018,0000,0,1.3856148719787598,2.263932704925537,0.0,1.300253169726299e-05,soft-dominant-test,40
learned,0.0,DFC2018,0000,0,1.3842724561691284,2.2632131576538086,0.0,0.0,soft-dominant-test,41
learned,0.0,DFC2018,0000,0,1.3767595291137695,2.2890913486480713,0.0,0.0,soft-dominant-test,42
learned,0.0,DFC2018,0000,0,1.3711572885513306,2.3029956817626953,0.0,0.0,soft-dominant-test,43
learned,0.0,DFC2018,0000,0,1.372361183166504,2.3035366535186768,0.0,0.0,soft-dominant-test,44
learned,0.0,DFC2018,0000,0,1.3766664266586304,2.294973850250244,0.0,0.0,soft-dominant-test,45
learned,0.0,DFC2018,0000,0,1.374739646911621,2.2985262870788574,0.0,0.0,soft-dominant-test,46
learned,0.0,DFC2018,0000,0,1.3736567497253418,2.30163311958313,0.0,0.0,soft-dominant-test,47
learned,0.0,DFC2018,0000,0,1.3734095096588135,2.3022775650024414,0.0,0.0,soft-dominant-test,48
learned,0.0,DFC2018,0000,0,1.3734620809555054,2.302088975906372,0.0,0.0,soft-dominant-test,49
learned,0.0,DFC2018,0000,0,1.37270188331604,2.3020191192626953,0.0,0.0,soft-dominant-test,50
learned,0.0,DFC2018,0000,0,1.3731582164764404,2.301929235458374,0.0,0.0,soft-dominant-test,51
learned,0.0,DFC2018,0000,0,1.373510479927063,2.301894187927246,0.0,0.0,soft-dominant-test,52
learned,0.0,DFC2018,0000,0,1.3735780715942383,2.301894426345825,0.0,0.0,soft-dominant-test,53
learned,0.0,DFC2018,0000,0,1.3735495805740356,2.3019001483917236,0.0,0.0,soft-dominant-test,54
learned,0.0,DFC2018,0000,0,1.3745615482330322,2.301759958267212,0.0,0.0,soft-dominant-test,55
learned,0.0,DFC2018,0000,0,1.3759641647338867,2.2949912548065186,0.0,0.0,soft-dominant-test,56
learned,0.0,DFC2018,0000,0,1.3743723630905151,2.29876708984375,0.0,0.0,soft-dominant-test,57
learned,0.0,DFC2018,0000,0,1.372901201248169,2.3016550540924072,0.0,8.7425814943957e-08,soft-dominant-test,58
learned,2.228499963970639e-06,DFC2018,0000,0,1.3685762882232666,2.3005499839782715,0.0,0.0005155759349994987,soft-dominant-test,59
learned,9.541105900368052e-05,DFC2018,0000,1,1.3581825494766235,2.2955167293548584,2.2955167293548584,0.0183012130720878,soft-dominant-test,60
learned,0.030439913796726614,DFC2018,0000,0,1.3511301279067993,2.291078805923462,0.0,0.0352756001908953,soft-dominant-test,61
learned,0.012244091715144312,DFC2018,0000,0,1.3477387428283691,2.289126396179199,0.0,0.012607885585263526,soft-dominant-test,62
learned,8.818450968798668e-05,DFC2018,0000,0,1.3427274227142334,2.286501884460449,0.0,0.0007447385190365216,soft-dominant-test,63
learned,0.002291637121743406,DFC2018,0000,0,1.3405427932739258,2.2865588665008545,0.0,0.005777076757415974,soft-dominant-test,64
learned,0.025514298749233905,DFC2018,0000,0,1.3369135856628418,2.2852180004119873,0.0,0.03453708401260277,soft-dominant-test,65
fixed,0.2358458675444126,DFC2018,0000,1,1.0181019306182861,2.073268175125122,1.5,0.2493764248987039,soft-dominant-test,0
fixed,0.24959557503461838,DFC2018,0000,0,0.8857136964797974,2.013154983520508,0.0,0.2499172861377398,soft-dominant-test,1
fixed,0.1811814901108543,DFC2018,0000,0,0.9320875406265259,2.059624671936035,0.0,0.19050535466521978,soft-dominant-test,2
fixed,0.045566057572917394,DFC2018,0000,0,1.0353690385818481,2.117945671081543,0.0,0.047775278644015394,soft-dominant-test,3
fixed,0.006565390676550524,DFC2018,0000,0,1.1630791425704956,2.1938273906707764,0.0,0.007595580747732811,soft-dominant-test,4
fixed,2.1814337491044e-05,DFC2018,0000,0,1.2994455099105835,2.2374870777130127,0.0,2.185434200393151e-05,soft-dominant-test,5
fixed,1.0831391561438863e-08,DFC2018,0000,0,1.3511734008789062,2.247587203979492,0.0,1.733945638922781e-08,soft-dominant-test,6
fixed,2.227133766297129e-08,DFC2018,0000,0,1.364883303642273,2.253155469894409,0.0,6.380815958014392e-08,soft-dominant-test,7
