arm,correct_activation,dataset,dot_safe,episode_id,false_activation,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,path_index,raw_soft_force_norm,raw_soft_force_perp_norm,regime,soft_force_norm,soft_force_perp_norm
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.07660695910453796,0.11366087943315506,0.0,30,0.01784847490489483,0.009769899770617485,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.07660695910453796,0.11366087943315506,0.0,30,0.23554904758930206,0.1289348602294922,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.06899912655353546,0.10482555627822876,0.0,36,0.0,0.0,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.06899912655353546,0.10482555627822876,0.0,36,0.0001413354038959369,0.00011143781011924148,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.06899912655353546,0.10482555627822876,0.0,36,0.002022437285631895,0.0015946179628372192,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.06059732660651207,0.09349797666072845,0.0,42,0.0,0.0,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.06059732660651207,0.09349797666072845,0.0,42,0.02921106293797493,0.0271995160728693,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.06059732660651207,0.09349797666072845,0.0,42,0.46863681077957153,0.4363653063774109,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.05044949799776077,0.08042044937610626,0.0,48,0.0,0.0,R3,0.0,0.0
learned,0,RELLIS-3D,0.009264122694730759,00003_001631_02,0,0,0.05044949799776077,0.08042044937610626,0.0,48,0.011151948012411594,0.0062082186341285706,R3,0.0,0.0
fixed,0,RELLIS-3D,0.1727941483259201,00003_001631_02,0,0,0.05044949799776077,0.08042044937610626,0.0,48,0.20800583064556122,0.11579551547765732,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.04774465784430504,0.07768894731998444,0.0,54,0.0,0.0,R3,0.0,0.0
learned,0,RELLIS-3D,-0.0007234523072838783,00003_001631_02,0,0,0.04774465784430504,0.07768894731998444,0.0,54,0.0007266775355674326,0.00021367058798205107,R3,0.0,0.0
fixed,0,RELLIS-3D,-0.013968247920274734,00003_001631_02,0,0,0.04774465784430504,0.07768894731998444,0.0,54,0.014030519872903824,0.004125501960515976,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.0437731109559536,0.07571975141763687,0.0,60,0.0,0.0,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.0437731109559536,0.07571975141763687,0.0,60,1.0340166909372783e-06,1.0339970231143525e-06,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.0437731109559536,0.07571975141763687,0.0,60,2.048375790764112e-05,2.048336864390876e-05,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.04367824271321297,0.07703182846307755,0.0,66,0.0,0.0,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.04367824271321297,0.07703182846307755,0.0,66,1.4103765352047049e-05,1.051914182426117e-06,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.04367824271321297,0.07703182846307755,0.0,66,0.00027463515289127827,2.048336864390876e-05,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.05493537336587906,0.09617011994123459,0.0,72,0.0,0.0,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.05493537336587906,0.09617011994123459,0.0,72,0.03005415014922619,0.02765701711177826,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.05493537336587906,0.09617011994123459,0.0,72,0.46876540780067444,0.43137645721435547,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.11633580923080444,0.15107768774032593,0.0,0,0.0,0.0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.11633580923080444,0.15107768774032593,0.0,0,0.016012396663427353,0.015422350727021694,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.11633580923080444,0.15107768774032593,0.0,0,0.15898175537586212,0.1531233787536621,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.10888165980577469,0.14335674047470093,0.0,6,0.0,0.0,R2,0.0,0.0
learned,0,RELLIS-3D,0.003815403440967202,00003_001631_03,0,0,0.10888165980577469,0.14335674047470093,0.0,6,0.004325338173657656,0.004304675851017237,R2,0.0,0.0
fixed,0,RELLIS-3D,0.03992212191224098,00003_001631_03,0,0,0.10888165980577469,0.14335674047470093,0.0,6,0.045257773250341415,0.04504157602787018,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.10484296828508377,0.1406000852584839,0.0,12,0.0,0.0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.10484296828508377,0.1406000852584839,0.0,12,0.028790025040507317,0.027416741475462914,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.10484296828508377,0.1406000852584839,0.0,12,0.3071480393409729,0.29249706864356995,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.10210908949375153,0.12916302680969238,0.0,18,0.0,0.0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.10210908949375153,0.12916302680969238,0.0,18,0.03838006779551506,0.030569909140467644,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.10210908949375153,0.12916302680969238,0.0,18,0.4457165598869324,0.3550153970718384,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.08850261569023132,0.11798292398452759,0.0,24,0.0,0.0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.08850261569023132,0.11798292398452759,0.0,24,0.036219026893377304,0.033662959933280945,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.08850261569023132,0.11798292398452759,0.0,24,0.46047794818878174,0.427980899810791,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.08039303869009018,0.11115793883800507,0.0,30,0.0,0.0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.08039303869009018,0.11115793883800507,0.0,30,0.024789366871118546,0.015308481641113758,R2,0.0,0.0
