arm,backtracking_ratio,barrier_violation_m,catastrophic_failure,curvature_energy,dataset,episode_id,excess_length_m,failure_score,hard_hazard_length_m,hard_hits,low_margin_length_m,max_risk,max_violation_severity_m,mean_rho,mean_safety_margin_m,min_hard_distance_m,oscillation,path_cvar_risk,path_length_m,path_length_ratio,regime,revisit_count,risk_exposure,soft_risk_violation_length_m,success
fixed,0.0,0.0,0.0,0.3790160601850224,RELLIS-3D,00003_000611_04,-1.1118971761105243,15.267522628074843,0.0,0.0,0.0,0.5499946475028992,0.0,0.4564384835964863,7.234893285952846,4.031128883361816,0.8255530686874637,0.549951909014528,32.544902823889466,0.9669636692700874,R1,0.0,14.854746093731112,32.544902823889466,1.0
zero,0.0,0.0,0.0,0.4259914920770327,RELLIS-3D,00003_000611_05,-2.996743642425571,17.970641433788863,0.0,0.0,3.6191136433902704,0.550000011920929,0.0,0.4925433127506328,6.583786361553409,0.7071067690849304,1.1802785790966694,0.550000011920929,35.28725635757441,0.921723340235462,R1,0.0,17.380502144240527,35.28725635757441,1.0
learned,0.0,0.0,0.0,0.426002605300257,RELLIS-3D,00003_000611_05,-2.996726931780181,17.97065356061816,0.0,0.0,3.619122123422584,0.550000011920929,0.0,0.49254319614419484,6.583782574354965,0.7071067690849304,1.1802946007684285,0.550000011920929,35.2872730682198,0.9217237767270875,R1,0.0,17.380506260233947,35.2872730682198,1.0
fixed,0.0,0.0,0.0,0.42613628823007826,RELLIS-3D,00003_000611_05,-2.9965214277276857,17.970803576046848,0.0,0.0,3.6192395880248083,0.550000011920929,0.0,0.49254183790896616,6.583735380622237,0.7071067690849304,1.1804880497731798,0.550000011920929,35.28747857227229,0.9217291446106026,R1,0.0,17.380559551160257,35.28747857227229,1.0
zero,0.0,0.0,0.0,0.640382969990058,RELLIS-3D,00003_000611_06,-3.722405406815703,15.590599167086232,0.0,0.0,0.0,0.5499705672264099,0.0,0.42231532270198785,6.131631557780848,2.5495097637176514,1.699539149238031,0.549724672177282,34.90479459318427,0.9036325333750387,R1,0.0,14.740829592467216,34.90479459318427,1.0
learned,0.0,0.0,0.0,0.640398737932617,RELLIS-3D,00003_000611_06,-3.722410605713904,15.590603778602302,0.0,0.0,0.0,0.5499705672264099,0.0,0.42231555826492445,6.1316342238914014,2.5495097637176514,1.6995363188695352,0.5497246731246567,34.90478939428607,0.9036323987833986,R1,0.0,14.740835619167536,34.90478939428607,1.0
fixed,0.0,0.0,0.0,0.6405535017417473,RELLIS-3D,00003_000611_06,-3.7224819829524094,15.590638776987417,0.0,0.0,0.0,0.5499705672264099,0.0,0.4223180305474332,6.131659566971718,2.5495097637176514,1.6994940144287605,0.5497246794481154,34.904718017047564,0.9036305509342533,R1,0.0,14.740891769773036,34.904718017047564,1.0
zero,0.0,0.0,0.0,0.21524128730153808,RELLIS-3D,00003_000611_07,-2.605042289606203,15.715526409371424,0.0,0.0,0.0,0.5499873757362366,0.0,0.49721840933226197,8.279162323764323,4.609772205352783,0.8933323834429092,0.5499873757362366,30.70855771039379,0.9218024383553203,R1,0.0,15.26886021764997,30.70855771039379,1.0
learned,0.0,0.0,0.0,0.2152372806504554,RELLIS-3D,00003_000611_07,-2.6050456042725934,15.715521608450329,0.0,0.0,0.0,0.5499873757362366,0.0,0.49721831340047007,8.279157993812747,4.609772205352783,0.8933319696803174,0.5499873757362366,30.7085543957274,0.9218023388564252,R1,0.0,15.26885562361017,30.7085543957274,1.0
fixed,0.0,0.0,0.0,0.21519058845752342,RELLIS-3D,00003_000611_07,-2.6050820936050236,15.715468092043432,0.0,0.0,0.0,0.5499873757362366,0.0,0.4972172254234568,8.279107670256266,4.609772205352783,0.8933280435183697,0.5499873757362366,30.70851790639497,0.9218012435280178,R1,0.0,15.268804070284247,30.70851790639497,1.0
zero,0.0,0.0,0.0,0.2494287716042266,RELLIS-3D,00003_001298_00,-2.3195187773989936,11.80943765694455,0.0,0.0,0.0,0.5277809500694275,0.0,0.38433091458821445,3.33347708662307,2.0,0.7500473366164297,0.5237562362397934,29.75148122260101,0.9276755081725236,R1,0.0,11.434413988636335,29.75148122260101,1.0
learned,0.0,0.0,0.0,0.24942969049019487,RELLIS-3D,00003_001298_00,-2.319518971614592,11.809439159630585,0.0,0.0,0.0,0.5277809500694275,0.0,0.3843310155868206,3.3334800147235795,2.0,0.7500444815583869,0.5237561796969209,29.751481028385413,0.9276755021167226,R1,0.0,11.434416918851392,29.751481028385413,1.0
fixed,0.0,0.0,0.0,0.2494438683190743,RELLIS-3D,00003_001298_00,-2.319498596282944,11.80947726793695,0.0,0.0,0.0,0.5277809500694275,0.0,0.38433230300390087,3.333514280023639,2.0,0.7500284312451665,0.5237558841694991,29.75150140371706,0.9276761374362213,R1,0.0,11.434463052314367,29.75150140371706,1.0
zero,0.0,2.8958816142920707,1.0,0.5679138140314863,RELLIS-3D,00003_001298_01,-4.02877749473619,686.5053870727202,5.791763228584141,1.0,5.791763228584141,0.5935974717140198,0.5,0.4903628740672645,2.1933255471002098,0.0,1.5790386005582824,0.5935974717140198,35.012622505263785,0.8968075557040426,R1,0.0,17.168890200313335,35.012622505263785,1.0
learned,0.0,2.8958816142920707,1.0,0.5679138140314863,RELLIS-3D,00003_001298_01,-4.02877749473619,686.5053870727202,5.791763228584141,1.0,5.791763228584141,0.5935974717140198,0.5,0.4903628740672645,2.1933255471002098,0.0,1.5790386005582824,0.5935974717140198,35.012622505263785,0.8968075557040426,R1,0.0,17.168890200313335,35.012622505263785,1.0
fixed,0.0,2.8958816142920707,1.0,0.5679138140314863,RELLIS-3D,00003_001298_01,-4.02877749473619,686.5053870727202,5.791763228584141,1.0,5.791763228584141,0.5935974717140198,0.5,0.4903628740672645,2.1933255471002098,0.0,1.5790386005582824,0.5935974717140198,35.012622505263785,0.8968075557040426,R1,0.0,17.168890200313335,35.012622505263785,1.0
zero,0.0,0.0,0.0,0.75043616686238,RELLIS-3D,00003_001298_02,-3.207406865260822,20.51390667906362,0.0,0.0,8.59370700170643,0.550000011920929,0.0,0.46788218609228005,3.807294751563141,0.7071067690849304,2.2686466393837117,0.550000011920929,41.419793134739145,0.9281288795788034,R1,0.0,19.379583359371765,41.419793134739145,1.0
learned,0.0,0.0,0.0,0.75043616686238,RELLIS-3D,00003_001298_02,-3.207406865260822,20.51390667906362,0.0,0.0,8.59370700170643,0.550000011920929,0.0,0.46788218609228005,3.807294751563141,0.7071067690849304,2.2686466393837117,0.550000011920929,41.419793134739145,0.9281288795788034,R1,0.0,19.379583359371765,41.419793134739145,1.0
fixed,0.0,0.0,0.0,0.75043616686238,RELLIS-3D,00003_001298_02,-3.207406865260822,20.51390667906362,0.0,0.0,8.59370700170643,0.550000011920929,0.0,0.46788218609228005,3.807294751563141,0.7071067690849304,2.2686466393837117,0.550000011920929,41.419793134739145,0.9281288795788034,R1,0.0,19.379583359371765,41.419793134739145,1.0
zero,0.0,1.3808910077153216,1.0,0.2406429237635993,RELLIS-3D,00003_001298_03,-3.678583112871813,514.4050487188292,2.761782015430643,1.0,2.761782015430643,0.663748562335968,0.5,0.3983131834075367,2.3002084804800793,0.0,1.0760772658567248,0.6545387578373301,30.049216887128182,0.8909332030884963,R1,0.0,11.968999237215536,30.049216887128182,1.0
learned,0.0,1.3808910077153216,1.0,0.2406429237635993,RELLIS-3D,00003_001298_03,-3.678583112871813,514.4050487188292,2.761782015430643,1.0,2.761782015430643,0.663748562335968,0.5,0.3983131834075367,2.3002084804800793,0.0,1.0760772658567248,0.6545387578373301,30.049216887128182,0.8909332030884963,R1,0.0,11.968999237215536,30.049216887128182,1.0
