comparison,dataset,delta_mean_rho,delta_path_length_ratio,delta_risk_exposure,delta_success,episode_id
learned_minus_fixed,DFC2018,-4.7169764785227886e-05,-2.3213537912347704e-05,-0.012929123653620422,0.0,0109
learned_minus_zero,DFC2018,-0.0001613209862823331,2.069201365995088e-05,-0.0522034834415841,0.0,0124
learned_minus_fixed,DFC2018,9.708800064046896e-06,-3.146641969875574e-05,0.002789455363622295,0.0,0124
learned_minus_zero,DFC2018,0.00012456358366180753,1.813879168621746e-05,0.022774402154910334,0.0,0126
learned_minus_fixed,DFC2018,-5.733643133751243e-05,-4.1510186289617224e-05,-0.010941227959483157,0.0,0126
learned_minus_zero,DFC2018,-4.403133004636517e-05,2.161504060183006e-06,-0.008895726952394156,0.0,0130
learned_minus_fixed,DFC2018,-1.0575678153559864e-06,-1.63012020828468e-05,-0.00036642695180511,0.0,0130
learned_minus_zero,DFC2018,-0.00016415474606810282,2.4394181758036204e-05,-0.055184239439226346,0.0,0132
learned_minus_fixed,DFC2018,2.816883342346421e-07,-2.740051165694979e-05,-0.0002713285801139165,0.0,0132
learned_minus_zero,DFC2018,-0.0002179512277000889,7.765672022097547e-06,-0.056104151771114275,0.0,0142
learned_minus_fixed,DFC2018,5.183636972994066e-07,6.014783115348976e-06,0.000193219704424763,0.0,0142
learned_minus_zero,DFC2018,-6.7750617437079e-07,-2.6613445442968953e-06,-0.00023071501326210608,0.0,0155
learned_minus_fixed,DFC2018,-8.313429351002044e-07,1.0303917885590153e-07,-0.00026255520623230666,0.0,0155
learned_minus_zero,DFC2018,-0.0002792128798035573,-2.70449082429014e-06,-0.04320614808488621,0.0,0157
learned_minus_fixed,DFC2018,2.575999100765114e-07,-1.0460423848890343e-05,-3.209920774427388e-05,0.0,0157
learned_minus_zero,DFC2018,0.00012142613797951757,7.017771919137772e-06,0.026639447321826992,0.0,0167
learned_minus_fixed,DFC2018,-8.84160676645207e-07,-1.194404899884649e-05,-0.0003161173286088115,0.0,0167
learned_minus_zero,DFC2018,-8.904139695148361e-07,1.1200566593982941e-05,-7.633771957582525e-05,0.0,0171
learned_minus_fixed,DFC2018,-7.282593795995829e-07,-1.942612185346082e-05,-0.00027643646075148354,0.0,0171
learned_minus_zero,DFC2018,-0.00037508504327627215,5.1280816392162976e-06,-0.09441014963611227,0.0,0215
learned_minus_fixed,DFC2018,3.8502771231019306e-07,-1.8610711605138164e-06,8.207894056955212e-05,0.0,0215
learned_minus_zero,DFC2018,-0.00020502976682429397,-4.6588869025976365e-06,-0.053475105521979316,0.0,0224
learned_minus_fixed,DFC2018,-5.2576292995681895e-05,8.514457632835537e-06,-0.013529967312607027,0.0,0224
learned_minus_zero,DFC2018,0.00018527230621177143,2.1947940209043892e-05,0.04435393030657586,0.0,0227
learned_minus_fixed,DFC2018,-1.1273095746680561e-06,-3.439344459432725e-05,-0.0006109016405364542,0.0,0227
learned_minus_zero,DFC2018,-0.0005040647661788758,9.030156281952806e-06,-0.14415121577451373,0.0,0231
learned_minus_fixed,DFC2018,0.0005405167378349576,-0.0002228077236872128,0.15227506150740666,0.0,0231
learned_minus_zero,DFC2018,-0.001975245401908382,4.22277899077006e-05,-0.40954328103500615,0.0,0249
learned_minus_fixed,DFC2018,0.00020066522573596035,-7.062348691411202e-05,0.04057801973619668,0.0,0249
learned_minus_zero,DFC2018,-5.394817671338509e-05,-4.215754537018057e-06,-0.013446936410857369,0.0,0251
learned_minus_fixed,DFC2018,-9.239632179844359e-08,-1.4271150108324804e-06,-3.211854452622731e-05,0.0,0251
learned_minus_zero,DFC2018,-4.4963061607977695e-07,6.1762708213342066e-06,-5.253510625635727e-05,0.0,0259
learned_minus_fixed,DFC2018,1.3946312118623405e-06,-1.9142600706345547e-05,0.00016307041312124682,0.0,0259
learned_minus_zero,DFC2018,-0.00013124603495103665,5.261018844127108e-06,-0.029440493636154308,0.0,0290
learned_minus_fixed,DFC2018,0.00025770724173969015,-3.709440125621022e-06,0.05785910720826504,0.0,0290
learned_minus_zero,DFC2018,2.0368045787158562e-05,4.723746729329292e-06,0.0033577721538042837,0.0,0297
learned_minus_fixed,DFC2018,5.861799801395312e-05,4.777054997129326e-07,0.009558273826861807,0.0,0297
learned_minus_zero,RELLIS-3D,2.3749017175056508e-07,-1.3259426379086392e-07,5.363179102602089e-06,0.0,00003_000099_00
learned_minus_fixed,RELLIS-3D,-2.6678033252514055e-06,2.137277018920969e-06,-4.8771377105794045e-05,0.0,00003_000099_00
learned_minus_zero,RELLIS-3D,-3.3904628971015427e-07,3.566866499715715e-06,5.092439278087113e-05,0.0,00003_000099_01
learned_minus_fixed,RELLIS-3D,3.679665848743685e-06,-4.0172312485986517e-05,-0.0005783599168385223,0.0,00003_000099_01
learned_minus_zero,RELLIS-3D,1.3285507316496137e-07,2.755336456772284e-07,8.97301734426037e-06,0.0,00003_000099_02
learned_minus_fixed,RELLIS-3D,-1.5563727997491839e-06,-3.86827125720135e-06,-0.00011631886421881177,0.0,00003_000099_02
learned_minus_zero,RELLIS-3D,1.1009332667732963e-08,3.570387924201057e-07,6.4591895387877685e-06,0.0,00003_000099_03
